"","edad_gama","Fecha","ingresos","trend"
"963","35-50",Feb 2022,1580.04506313257,1599.20551032512
"965","35-50",Mar 2022,1593.89460353089,1596.04676714231
"967","35-50",Apr 2022,1565.32261004428,1593.76413197951
"969","35-50",May 2022,1568.6055374065,1591.55050864621
"971","35-50",Jun 2022,1569.81791022685,1589.03808983598
"973","35-50",Jul 2022,1569.48464209563,1587.60912123613
"975","35-50",Aug 2022,1571.71642830857,1586.97385639137
"977","35-50",Sep 2022,1635.21373583693,1586.64151191133
"979","35-50",Oct 2022,1567.93248398785,1587.73952267978
"981","35-50",Nov 2022,1558.42385762671,1590.18159841922
"983","35-50",Dec 2022,1675.8308615325,1593.40962371445
