"","edad_gama","quintil","Sexo","Fecha","ingresos","trend","base","perc_change2010"
"9467","35-50","v","mujer",Jun 2008,2582.78338349449,2567.6632340297,NA,NA
"9469","35-50","v","mujer",Jul 2008,2575.66991946152,2579.57852526144,NA,NA
"9471","35-50","v","mujer",Aug 2008,2580.73068710517,2593.27787377177,NA,NA
"9473","35-50","v","mujer",Sep 2008,2682.58657133764,2611.04738254884,NA,NA
"9475","35-50","v","mujer",Oct 2008,2497.88376490426,2632.52444011068,NA,NA
"9477","35-50","v","mujer",Nov 2008,2506.98997903109,2654.41260901492,NA,NA
"9479","35-50","v","mujer",Dec 2008,2726.38251493536,2676.9182115716,NA,NA
"9481","35-50","v","mujer",Jan 2009,2719.35824623083,2704.25293376664,NA,NA
"9483","35-50","v","mujer",Feb 2009,2711.47726204973,2733.49508253819,NA,NA
"9485","35-50","v","mujer",Mar 2009,2750.51270215429,2760.52324550707,NA,NA
"9487","35-50","v","mujer",Apr 2009,2789.2881229523,2788.04352146354,NA,NA
"9489","35-50","v","mujer",May 2009,2855.34203874823,2816.8588133882,NA,NA
"9491","35-50","v","mujer",Jun 2009,2870.8100764031,2845.14722052438,NA,NA
"9493","35-50","v","mujer",Jul 2009,2943.67655923392,2872.56532450064,NA,NA
"9495","35-50","v","mujer",Aug 2009,2914.5356178498,2897.98997559963,NA,NA
"9497","35-50","v","mujer",Sep 2009,2997.4575518463,2922.84546740955,NA,NA
"9499","35-50","v","mujer",Oct 2009,2843.49940735084,2947.91118931134,NA,NA
"9501","35-50","v","mujer",Nov 2009,2852.94134277635,2968.6060818085,NA,NA
"9503","35-50","v","mujer",Dec 2009,3059.35292245847,2986.24741794366,NA,NA
"9505","35-50","v","mujer",Jan 2010,3044.42233413796,3001.40160207983,NA,NA
"9507","35-50","v","mujer",Feb 2010,2996.60480051835,3015.69222482631,NA,NA
"9509","35-50","v","mujer",Mar 2010,3061.9169671237,3037.1016748131,NA,NA
"9511","35-50","v","mujer",Apr 2010,3079.46118362578,3061.06527276094,NA,NA
"9513","35-50","v","mujer",May 2010,3061.84639800662,3080.70942274817,NA,NA
"9515","35-50","v","mujer",Jun 2010,3087.69778438858,3101.52259428727,NA,NA
"9517","35-50","v","mujer",Jul 2010,3090.48927051647,3122.89050367044,NA,NA
"9519","35-50","v","mujer",Aug 2010,3110.69785248278,3141.60166727949,NA,NA
"9521","35-50","v","mujer",Sep 2010,3315.12211689638,3158.46153799758,NA,NA
"9523","35-50","v","mujer",Oct 2010,3100.96119304886,3171.70391891385,NA,NA
"9525","35-50","v","mujer",Nov 2010,3066.93915677175,3186.82235034777,NA,NA
"9527","35-50","v","mujer",Dec 2010,3344.87122540163,3206.39043383091,3206.39043383091,0
"9529","35-50","v","mujer",Jan 2011,3271.73385639082,3226.27719940922,3206.39043383091,0.620222832768017
