"","Fecha","quintil","ingresos","trend","base","perc_change"
"1521",Sep 2015,1,265.542974951237,255.590830306961,235.74477272491,8.41845074766923
"1523",Sep 2015,2,485.11081501413,467.445512081992,426.811935859282,9.52025302218968
"1525",Sep 2015,3,700.242412435673,658.257752185568,615.113409283463,7.01404688159266
"1527",Sep 2015,4,1019.04042794526,957.927746468215,917.7147187891,4.38186582995806
"1529",Sep 2015,5,1981.09865229532,1888.44054736463,1921.91829528103,-1.74189235820249
"1531",Oct 2015,1,263.596572600561,256.22055544602,235.74477272491,8.68557231807768
"1533",Oct 2015,2,469.980035045838,468.655165113278,426.811935859282,9.80366895545098
"1535",Oct 2015,3,656.829841686374,658.716117084889,615.113409283463,7.08856401817323
"1537",Oct 2015,4,954.12585114201,957.412619399265,917.7147187891,4.32573432651761
"1539",Oct 2015,5,1894.69618550095,1885.72128430936,1921.91829528103,-1.88337928103124
"1541",Nov 2015,1,259.680941455318,256.508543877182,235.74477272491,8.8077334280924
"1543",Nov 2015,2,467.167862234109,469.58107272028,426.811935859282,10.0206046897196
"1545",Nov 2015,3,658.920123792634,659.041910622786,615.113409283463,7.14152881019046
"1547",Nov 2015,4,963.595045463148,956.685074553117,917.7147187891,4.24645643860187
"1549",Nov 2015,5,1913.60697122583,1882.76261173934,1921.91829528103,-2.03732300367972
"1551",Dec 2015,1,261.368960756017,256.79610147512,235.74477272491,8.92971178401281
"1553",Dec 2015,2,494.06199203841,470.51656999875,426.811935859282,10.2397872382549
"1555",Dec 2015,3,725.995059015524,659.362827573337,615.113409283463,7.19370080737135
"1557",Dec 2015,4,1066.29814711478,956.138265310545,917.7147187891,4.1868726451444
"1559",Dec 2015,5,2094.57600746785,1879.07392324343,1921.91829528103,-2.22925043914687
"1561",Jan 2016,1,247.443776114419,256.985876391515,235.74477272491,9.0102119428081
"1563",Jan 2016,2,461.236699551625,471.04532170566,426.811935859282,10.3636712401974
"1565",Jan 2016,3,634.652554579465,659.277789399635,615.113409283463,7.1798760114202
"1567",Jan 2016,4,921.498772868205,955.204305982003,917.7147187891,4.08510252972395
"1569",Jan 2016,5,1817.16189551233,1874.91839370183,1921.91829528103,-2.44546824360835
"1571",Feb 2016,1,248.11695759282,257.231019044645,235.74477272491,9.11419840676909
"1573",Feb 2016,2,461.709298490393,471.604429571026,426.811935859282,10.4946675452188
"1575",Feb 2016,3,634.460153721062,659.471263683049,615.113409283463,7.2113294443147
"1577",Feb 2016,4,912.634221768464,954.691730258383,917.7147187891,4.02924903700712
"1579",Feb 2016,5,1780.60475061701,1871.66075143592,1921.91829528103,-2.61496776259981
"1581",Mar 2016,1,246.696780591205,257.757688746015,235.74477272491,9.33760514248676
"1583",Mar 2016,2,467.316424942343,472.568402322781,426.811935859282,10.7205217612717
"1585",Mar 2016,3,644.893399512172,659.924466044195,615.113409283463,7.28500729856181
"1587",Mar 2016,4,928.399561514655,954.404556147651,917.7147187891,3.99795672962099
"1589",Mar 2016,5,1817.55581163152,1869.00537590711,1921.91829528103,-2.75313053129462
"1591",Apr 2016,1,245.052002773626,258.432828119012,235.74477272491,9.62399086599325
"1593",Apr 2016,2,465.734841112261,473.552905431625,426.811935859282,10.951186142028
"1595",Apr 2016,3,646.786474577853,660.249352086906,615.113409283463,7.33782455759207
"1597",Apr 2016,4,927.754196546643,954.105573791447,917.7147187891,3.96537772112486
"1599",Apr 2016,5,1828.49369221673,1866.75734095219,1921.91829528103,-2.87009882076054
"1601",May 2016,1,256.676318792473,258.767475477178,235.74477272491,9.76594411242085
"1603",May 2016,2,468.983669525912,474.457939446116,426.811935859282,11.1632312931713
